D00043	Isoflurophate
D05523	Pizotyline (USAN)
D05529	Podofilox (USAN) &lt;US&gt;
D05535	Poldine methylsulfate (USAN)
D05575	Pramipexole (USAN/INN)
D05587	Practolol (USAN)
D05589	Pralatrexate (JAN/USAN/INN) &lt;JP/US&gt;
D05590	Pralidoxime mesylate (USAN)
D05597	Prasugrel hydrochloride (JAN/USAN) &lt;JP/US&gt;
D05598	Pravadoline maleate (USAN)
D05599	Prazarelix acetate (USAN)
D05601	Prednicarbate (USP/INN) &lt;US&gt;
D05603	Prednival (USAN)
D05610	Priliximab (USAN/INN) Monoclonal antibody
D05612	Prinoxodan (USAN/INN)
D05621	Progabide (USAN/INN)
D05622	Proinsulin human (USAN)
D05628	Propenzolate hydrochloride (USAN)
D05631	Propiram fumarate (USAN)
D05632	Propoxyphene napsylate (USAN)
D05637	Propylhexedrine (USP/INN)
D05640	Prorenoate potassium (USAN/INN)
D05642	Prostalene (USAN)
D05646	Proxorphan tartrate (USAN)
D05648	Pseudoephedrine polistirex (USAN)
D05649	Pseudoephedrine sulfate (USP)
D05660	Pyrilamine maleate (USP)
D05663	Pyrovalerone hydrochloride (USAN)
D05664	Pyroxamine maleate (USAN)
D05667	Quadazocine mesylate (USAN)
D05671	Quiflapon sodium (USAN)
D05674	Quinbolone (USAN/INN)
D05677	Quinelorane hydrochloride (USAN)
D05679	Quingestanol acetate (USAN)
D05680	Quingestrone (USAN/INN)
D05682	Quinpirole hydrochloride (USAN)
D05685	Quipazine maleate (USAN)
D05688	Racepinephrine (USP/INN)
D05689	Racepinephrine hydrochloride (USP)
D05690	Raclopride C11 (USAN)
D05691	Ractopamine hydrochloride (USP)
D05692	Radafaxine hydrochloride (USAN)
D05697	Ranibizumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D05699	Ranitidine bismuth citrate (USAN)
D05703	Rapacuronium bromide (USAN/INN)
D05708	Recainam hydrochloride (USAN)
D05709	Recainam tosylate (USAN)
D05711	Regadenoson (USAN/INN) &lt;US&gt;
D05712	Regramostim (USAN/INN)
D05714	Remacemide hydrochloride (USAN)
D05716	Repifermin (USAN/INN)
D05718	Reproterol hydrochloride (USAN)
D05719	Resocortol butyrate (USAN)
D05722	Revaprazan hydrochloride (USAN)
D05727	Ridogrel (USAN/INN)
D05728	Rilapladib (USAN)
D05729	Rimexolone (USP/INN)
D05730	Rimiterol hydrobromide (USAN)
D05731	Rimonabant (JAN/USAN/INN)
D05732	Rioprostil (USAN/INN)
D05734	Rismorelin porcine (USAN)
D05738	Ritanserin (USAN/INN)
D05739	Rivoglitazone (USAN/INN)
D05740	Rizatriptan sulfate (USAN)
D05742	Rocastine hydrochloride (USAN)
D05744	Roflumilast (JAN/USAN/INN) &lt;US&gt;
D05746	Rogletimide (USAN/INN)
D05768	Rotigotine (JAN/USAN/INN) &lt;JP/US&gt;
D05769	Rotoxamine (USAN/INN)
D05772	Roxifiban acetate (USAN)
D05775	Rufinamide (JAN/USP/INN) &lt;JP/US&gt;
D05777	Ruplizumab (USAN/INN) Monoclonal antibody
D05779	Sabcomeline hydrochloride (USAN)
D05782	Sacrosidase (USAN) &lt;US&gt; Enzyme replacement therapy product
D05784	Safingol (USAN/INN)
D05785	Safingol hydrochloride (USAN)
D05791	Salicylate meglumine (USAN)
D05792	Salmeterol (USAN/INN)
D05801	Saprisartan potassium (USAN)
D05803	Sargramostim (USP/INN) &lt;US&gt;
D05804	Sarizotan hydrochloride (USAN)
D05812	Seglitide acetate (USAN)
D05817	Seletracetam (USAN/INN)
D05818	Selodenoson (USAN/INN)
D05819	Semaxanib (USAN/INN)
D05827	Seractide acetate (USAN)
D05829	Sergolexole maleate (USAN)
D05832	Sibenadet hydrochloride (USAN)
D05834	Sibrafiban (USAN/INN)
D05837	Silandrone (USAN/INN)
D05847	Siplizumab (USAN/INN) Monoclonal antibody
D05857	Sodium dichloroacetate (USAN)
D05879	Solabegron hydrochloride (USAN)
D05884	Somatrem (USAN)
D05891	Sonepiprazole mesylate (USAN)
D05893	Sorbinil (USAN/INN)
D05900	Timoprazole (INN)
D05901	Picoprazole (INN)
D05902	Soterenol hydrochloride (USAN)
D05906	Leminoprazole (INN)
D05907	Spiradoline mesylate (USAN)
D05912	Spiroxasone (USAN/INN)
D05917	Stamulumab (USAN) Monoclonal antibody
D05922	Stannsoporfin (USAN/INN)
D05938	Sufentanil (USAN/INN)
D05939	Sufotidine (USAN/INN)
D05941	Sulamserod hydrochloride (USAN)
D05970	Sulotroban (USAN/INN)
D05980	Suritozole (USAN/INN)
D05981	Suronacrine maleate (USAN)
D05988	Tacedinaline (USAN/INN)
D05989	Talabostat (USAN/INN)
D05990	Talabostat mesylate (USAN)
D05996	Talnetant hydrochloride (USAN)
D05997	Talopram hydrochloride (USAN)
D05999	Talotrexin ammonium (USAN)
D06000	Talsaclidine fumarate (USAN)
D06001	Taltobulin (USAN/INN)
D06003	Tanaproget (USAN/INN)
D06004	Tandamine hydrochloride (USAN)
D06005	Tandutinib (USAN/INN)
D06007	Tapentadol (USAN/INN)
D06008	Tariquidar (USAN/INN)
D06009	Tasidotin hydrochloride (USAN)
D06010	Tasosartan (USAN/INN)
D06012	Tazifylline hydrochloride (USAN)
D06014	Tazolol hydrochloride (USAN)
D06015	Tazomeline citrate (USAN)
D06016	Tebanicline tosylate (USAN)
D06017	Tebufelone (USAN/INN)
D06019	Tecadenoson (USAN/INN)
D06020	Tecalcet hydrochloride (USAN)
D06021	Tecastemizole (USAN/INN)
D06028	Technetium Tc 99m arcitumomab (USP) Monoclonal antibody
D06053	Teduglutide (USAN/INN) &lt;US&gt;
D06056	Tegaserod (USAN/INN)
D06059	Teloxantrone hydrochloride (USAN)
D06061	Tematropium methylsulfate (USAN)
D06063	Temelastine (USAN/INN)
D06068	Temsirolimus (JAN/USAN/INN) &lt;JP/US&gt;
D06071	Teneliximab (USAN/INN) Monoclonal antibody
D06072	Tenidap (USAN/INN)
D06073	Tenidap sodium (USAN)
D06075	Tepoxalin (USAN/INN)
D06076	Teprotide (USAN/INN)
D06077	Terbogrel (USAN/INN)
D06078	Teriparatide (USP/INN) &lt;JP/US&gt;
D06084	Tesmilifene hydrochloride (USAN)
D06085	Testosterone ketolaurate (USAN/INN)
D06086	Testosterone phenylacetate (USAN)
D06087	Testosterone undecanoate (USAN) &lt;US&gt;
D06100	Tezacitabine (USAN)
D06102	Theofibrate (USAN)
D06103	Theophylline (USP)
D06104	Theophylline sodium glycinate (USP)
D06106	Thiamylal
D06109	Thioguanine (USP) &lt;US&gt;
D06120	Thyrotropin alfa (USAN/INN) &lt;JP/US&gt;
D06129	Tiapamil hydrochloride (USAN)
D06130	Tiazofurin (USAN)
D06132	Tibenelast sodium (USAN)
D06135	Ticabesone propionate (USAN)
D06140	Ticolubant (USAN/INN)
D06142	Tifacogin (USAN/INN)
D06145	Tigestol (USAN/INN)
D06146	Tiletamine hydrochloride (USP)
D06147	Tilidine hydrochloride (USAN)
D06157	Tiotidine (USAN/INN)
D06160	Tiplasinin (USAN)
D06161	Tipredane (USAN)
D06162	Tiprenolol hydrochloride (USAN)
D06167	Tirapazamine (USAN/INN)
D06171	Tixocortol pivalate (USAN)
D06172	Tocainide (USAN/INN)
D06175	Tofenacin hydrochloride (USAN)
D06176	Tolamolol (USAN/INN)
D06177	Tolbutamide sodium, sterile
D06182	Tolimidone (USAN)
D06189	Tonazocine mesylate (USAN)
D06190	Topixantrone (USAN/INN)
D06191	Topterone (USAN/INN)
D06192	Toquizine (USAN)
D06193	Toralizumab (USAN/INN) Monoclonal antibody
D06194	Torapsel (USAN/INN)
D06195	Torcetrapib (USAN/INN)
D06197	Tosagestin (USAN/INN)
D06201	Tralonide (USAN/INN)
D06203	Transcainide (USAN/INN)
D06204	Traxoprodil mesylate (USAN)
D06206	Trecetilide fumarate (USAN)
D06208	Trefentanil hydrochloride (USAN)
D06211	Trenbolone acetate (USP)
D06213	Treprostinil (JAN/USAN/INN) &lt;JP/US&gt;
D06216	Triamcinolone acetonide sodium phosphate (USAN)
D06217	Triampyzine sulfate (USAN)
D06221	Triciribine phosphate (USAN)
D06234	Trimazosin hydrochloride (USAN)
D06235	Trimegestone (USAN/INN)
D06238	Trimetrexate (USAN/INN)
D06239	Trimetrexate glucuronate (USAN)
D06240	Trimoprostil (USAN/INN)
D06245	Trioxifene mesylate (USAN)
D06246	Tripelennamine citrate
D06247	Triptorelin (USAN/INN)
D06248	Triptorelin pamoate (USAN) &lt;US&gt;
D06252	Trodusquemine (USAN/INN)
D06253	Tropanserin hydrochloride (USAN)
D06268	Trimeperidine (INN)
D06269	Urofollitropin (USAN/INN)
D06272	Sorafenib tosylate (USAN) &lt;JP/US&gt;
D06273	Imidafenacin (JAN/INN) &lt;JP&gt;
D06274	Tafluprost (JAN/USAN/INN) &lt;JP/US&gt;
D06277	Valspodar (USAN/INN)
D06280	Vapiprost hydrochloride (JAN/USAN)
D06281	Vapreotide (USAN/INN)
D06282	Varenicline tartrate (JAN/USAN) &lt;JP/US&gt;
D06283	Varespladib sodium (USAN)
D06285	Vatalanib (USAN/INN)
D06288	Velnacrine maleate (USAN)
D06293	Vestipitant mesylate (USAN)
D06297	Vicriviroc maleate (USAN)
D06304	Vindesine (USAN/INN)
D06305	Vinepidine sulfate (USAN)
D06306	Vinglycinate sulfate (USAN)
D06307	Vinleurosine sulfate (USAN)
D06308	Vinrosidine sulfate (USAN)
D06309	Vinzolidine sulfate (USAN)
D06314	Visilizumab (USAN/INN) Monoclonal antibody
D06315	Fluticasone furoate (JAN/USAN/INN) &lt;JP/US&gt;
D06317	Vofopitant dihydrochloride (USAN)
D06319	Volociximab (USAN) Monoclonal antibody
D06320	Vorinostat (JAN/USAN) &lt;JP/US&gt;
D06327	Xaliproden (USAN)
D06328	Xamoterol (USAN)
D06329	Xamoterol fumarate (USAN)
D06330	Xanomeline (USAN)
D06331	Xanomeline tartrate (USAN)
D06335	Xemilofiban hydrochloride (USAN)
D06342	Xorphanol mesylate (USAN)
D06343	Xylamidine tosylate (USAN)
D06344	Xylazine hydrochloride (USP)
D06348	Yttrium Y 90 epratuzumab (USAN) Monoclonal antibody
D06349	Yttrium Y 90 epratuzumab tetraxetan (USAN) Monoclonal antibody
D06350	Yttrium Y 90 labetuzumab (USAN) Monoclonal antibody
D06351	Yttrium Y 90 labetuzumab tetraxetan (USAN) Monoclonal antibody
D06353	Zacopride hydrochloride (USAN)
D06354	Zalospirone hydrochloride (USAN)
D06355	Zaltidine hydrochloride (USAN)
D06356	Zanolimumab (USAN/INN) Monoclonal antibody
D06357	Zanoterone (USAN/INN)
D06358	Zatosetron maleate (USAN)
D06363	Ziconotide (USAN/INN)
D06364	Zidometacin (USAN/INN)
D06365	Zifrosilone (USAN)
D06374	Zinterol hydrochloride (USAN)
D06376	Zolamine hydrochloride (USAN)
D06378	Zoledronate disodium (USAN)
D06379	Zoledronate trisodium (USAN)
D06380	Zolertine hydrochloride (USAN)
D06381	Zolimomab aritox (USAN) Monoclonal antibody
D06386	Zorubicin hydrochloride (USAN)
D06387	Zosuquidar trihydrochloride (USAN)
D06388	Zucapsaicin (USAN/INN)
D06394	Dabuzalgron hydrochloride (USAN)
D06395	Enadoline hydrochloride (USAN)
D06396	Renzapride (INN)
D06397	Estramustine phosphate sodium hydrate (JAN) &lt;JP/US&gt;
D06398	Tinzaparin sodium (USAN)
D06400	Follitropin delta (genetical recombination) (JAN) &lt;US&gt;
D06401	Indapamide hydrate
D06402	Sunitinib malate (JAN/USAN) &lt;JP/US&gt;
D06403	Ranirestat (JAN/INN)
D06404	Liraglutide (USAN/INN) &lt;JP/US&gt;
D06405	Nalfurafine hydrochloride (JAN/USAN) &lt;JP&gt;
D06407	Vandetanib (JAN/USAN/INN) &lt;JP/US&gt;
D06409	Bevacizumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D06410	Thrombomodulin alfa (USAN/INN) &lt;JP&gt;
D06412	Aliskiren fumarate (JAN/USAN) &lt;JP/US&gt;
D06413	Nilotinib hydrochloride hydrate (JAN) &lt;JP/US&gt;
D06414	Dasatinib (USAN) &lt;JP/US&gt;
D06456	Cellulose, oxidized regenerated (USP)
D06457	Gonadotropin, chorionic (USP) &lt;JP/US&gt;
D06459	Purified human menopausal gonadotrophin (JAN) &lt;JP&gt;
D06463	Lumiliximab (USAN/INN) Monoclonal antibody
D06482	Thyroid (USP)
D06495	Octreotide acetate (USP) &lt;US&gt;
D06503	Pemetrexed sodium hydrate (JAN) &lt;JP/US&gt;
D06517	Pirmenol hydrochloride (USAN)
D06543	Vitamin A (USP) &lt;JP&gt;
D06544	Corticotropin, repository (USP)
D06546	Teriparatide acetate (USAN)
D06551	Afimoxifene (USAN/INN)
D06552	Alcaftadine (JAN/USAN/INN) &lt;US&gt;
D06553	Alogliptin benzoate (JAN/USAN) &lt;JP/US&gt;
D06554	Alvespimycin hydrochloride (USAN)
D06556	Apilimod mesylate (USAN)
D06557	Aplaviroc hydrochloride (USAN)
D06560	Batabulin (USAN/INN)
D06562	Bedoradrine sulfate (USAN)
D06563	Belagenpumatucel-L (USAN)
D06565	Galsulfase (USAN/INN) &lt;JP/US&gt; Enzyme replacement therapy product
D06566	Bifeprunox (USAN/INN)
D06567	Bifeprunox mesylate (USAN)
D06569	Bremelanotide (USAN/INN)
D06570	Camobucol (USAN/INN)
D06574	Casopitant mesylate (USAN)
D06576	Cevipabulin fumarate (USAN)
D06578	Denagliptin tosylate (USAN)
D06582	Elsibucol (USAN/INN)
D06590	Firategrast (USAN)
D06596	Forodesine (USAN/INN)
D06597	Fosaprepitant dimeglumine (USAN) &lt;JP/US&gt;
D06600	Giripladib (USAN)
D06606	Ibuprofen lysine (USAN) &lt;JP/US&gt;
D06609	Lapaquistat acetate (JAN/USAN)
D06610	Lapuleucel-T (USAN)
D06611	Lexatumumab (USAN/INN) Monoclonal antibody
D06612	Linaclotide acetate (USAN)
D06613	Lorcaserin hydrochloride (USAN)
D06618	Methylnaltrexone bromide (JAN/USAN) &lt;US&gt;
D06619	Mifamurtide (USAN)
D06622	Nebivolol hydrochloride (USAN) &lt;US&gt;
D06623	Olanzapine pamoate (USAN) &lt;US&gt;
D06631	Prinaberel (USAN/INN)
D06632	Pruvanserin (USAN/INN)
D06633	Pruvanserin hydrochloride (USAN)
D06634	Relacatib (USAN/INN)
D06635	Rilonacept (USAN/INN) &lt;US&gt;
D06637	Romidepsin (JAN/USAN/INN) &lt;JP/US&gt;
D06640	Senicapoc (USAN)
D06641	Sergliflozin etabonate (USAN)
D06645	Sitagliptin phosphate (USAN) &lt;JP/US&gt;
D06646	Epanolol (USAN/INN)
D06647	Sodelglitazar (USAN)
D06648	Succinobucol (USAN)
D06649	Tadocizumab (USAN) Monoclonal antibody
D06650	Tanespimycin (USAN)
D06652	Tedisamil (USAN)
D06653	Tedisamil sesquifumarate (USAN)
D06655	Tesamorelin (USAN)
D06656	Tezampanel (USAN)
D06657	Tremelimumab (USAN/INN) Monoclonal antibody
D06659	Tipelukast (USAN)
D06660	Vabicaserin hydrochloride (USAN)
D06664	Veliflapon (USAN/INN)
D06665	Vernakalant hydrochloride (USAN)
D06667	Vitespen (USAN)
D06669	Zotarolimus (USAN/INN)
D06670	Maraviroc (JAN/INN) &lt;JP/US&gt;
D06671	Yohimbine hydrochloride (USP)
D06672	Terlipressin (USAN/INN)
D06673	Meprednisone (USP/INN)
D06674	Efipladib (USAN)
D06678	Motesanib (USAN)
D06876	Hydrocortisone aceponate (INN)
D06877	Oxyphenonium bromide (INN)
D06878	Diphemanil metilsulfate (INN)
D06880	Lepirudin (INN)
D06881	Acetyldigitoxin (INN)
D06886	Natalizumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D06887	Talbutal (INN)
D06888	Eptifibatide (INN) &lt;US&gt;
D06889	Pegfilgrastim (USAN/INN) &lt;JP/US&gt;
D07058	Acamprosate (INN)
D07064	Acenocoumarol (INN)
D07065	Acepromazine (INN)
D07070	Fenpiverinium bromide (INN)
D07072	Niperotidine (INN)
D07073	Dexamethasone cipecilate (JAN/INN) &lt;JP&gt;
D07077	Ambrisentan (JAN/INN) &lt;JP/US&gt;
D07078	Rociverine (INN)
D07079	Difemerine (INN)
D07080	Vildagliptin (JAN/USAN/INN) &lt;JP&gt;
D07081	Penthienate bromide (NF XIII)
D07082	Dabigatran etexilate mesylate (USAN) &lt;JP/US&gt;
D07083	Otilonium bromide (INN)
D07084	Pipenzolate bromide (INN)
D07086	Rivaroxaban (JAN/USAN/INN) &lt;JP/US&gt;
D07088	Drotaverine (INN)
D07089	Moxaverine (INN)
D07094	Pinaverium bromide (INN)
D07096	Aglepristone (INN)
D07097	Isometheptene mucate (USP)
D07099	Cimetropium bromide (JAN/INN)
D07100	Amrubicin hydrochloride (JAN/USAN) &lt;JP&gt;
D07101	Bromopride (INN)
D07102	Alizapride (INN)
D07113	Loperamide oxide (INN)
D07116	Alclometasone (INN)
D07117	Metahexamide (INN)
D07118	Glisoxepide (INN)
D07119	Alendronic acid (INN)
D07121	Alfatradiol (INN)
D07122	Alfentanil (INN)
D07123	Incadronate disodium hydrate (JAN)
D07124	Alfuzosin (INN)
D07125	Alimemazine (INN)
D07127	Norethandrolone (INN)
D07129	Alosetron (INN)
D07130	Carglumic acid (JAN/USAN/INN) &lt;JP/US&gt;
D07131	Ethyl biscoumacetate (INN)
D07132	Buprenorphine (JAN/INN) &lt;JP/US&gt;
D07134	Flocoumafen (JAN)
D07135	Clorindione (INN)
D07136	Diphenadione (INN)
D07137	Tioclomarol (INN)
D07140	Picotamide (BAN)
D07141	Indobufen (INN)
D07142	Triflusal (INN)
D07143	Melagatran (INN)
D07144	Dabigatran etexilate (USAN/INN)
D07147	Gitoformate (INN)
D07156	Alprenolol (INN)
D07165	Ivabradine (USAN/INN)
D07171	Sitaxentan (USAN/INN)
D07175	Palonosetron (INN)
D07181	Mepindolol (INN)
D07182	Tertatolol (INN)
D07183	Cloranolol (INN)
D07184	Talinolol (INN)
D07185	Fendiline (INN)
D07187	Etofibrate (INN)
D07194	Thenalidine (INN)
D07195	Chloropyramine (INN)
D07196	Tolpropamine (INN)
D07197	Bamipine (INN)
D07198	Chlorphenoxamine (INN)
D07201	Fluprednidene (INN)
D07202	Halometasone (INN)
D07203	Methylprednisolone aceponate (INN)
D07214	Tiratricol (INN)
D07217	Quinagolide (INN/BAN)
D07220	Norgestrienone (INN)
D07221	Promestriene (INN)
D07222	Nomegestrol (USAN/INN)
D07223	Demegestone (INN)
D07226	Fesoterodine (INN)
D07227	Ornipressin (INN)
D07228	Demoxytocin (INN)
D07229	Carbetocin (INN/BAN)
D07230	Prednylidene (INN)
D07231	Methylthiouracil (INN)
D07257	Lonidamine (INN)
D07258	Mitoguazone (INN)
D07259	Buserelin (INN)
D07260	Formestane (INN)
D07267	Droxicam (INN)
D07268	Ibuproxam (INN)
D07269	Dexketoprofen (INN)
D07272	Dimethyltubocurarine (BAN)
D07273	Fazadinium bromide (INN)
D07281	Pamidronic acid (INN)
D07283	Esketamine (USAN/INN)
D07285	Nicomorphine (INN)
D07286	Diamorphine (BAN)
D07294	Propacetamol (INN)
D07298	Barbexaclone (INN)
D07299	Lacosamide (JAN/USAN/INN) &lt;JP/US&gt;
D07301	Phenglutarimide (INN)
D07302	Bornaprine (INN)
D07303	Tropatepine (INN)
D07305	Piribedil (INN)
D07306	Budipine (INN)
D07307	Cyamemazine (INN)
D07309	Melperone (INN)
D07310	Amisulpride (INN)
D07312	Levosulpiride (INN)
D07316	Captodiame (BAN)
D07326	Loprazolam (INN)
D07328	Cinolazepam (INN)
D07330	Clomethiazole (INN)
D07334	Imipraminoxide (INN)
D07337	Nialamide (INN)
D07338	Iproclozide (INN)
D07349	Choline alfoscerate (INN)
D07377	Bambuterol (INN)
D07385	Pholcodine (INN)
D07398	Chlorphenamine (INN)
D07400	Histapyrrodine (INN)
D07401	Oxomemazine (INN)
D07402	Levocetirizine (USAN/INN)
D07403	Pyrrobutamine (BAN)
D07404	Deptropine (INN)
D07405	Tritoqualine (INN)
D07406	Pimethixene (INN)
D07407	Rupatadine (INN)
D07417	Alsactide (INN)
D07421	Aloxiprin (INN)
D07425	Papaverine (BAN)
D07431	Somatostatin (INN)
D07434	Polyestradiol phosphate (INN)
D07436	Afelimomab (INN) Monoclonal antibody
D07439	Papaverine sulfate
D07441	Amantadine (INN)
D07443	Amfenac (INN)
D07444	Amfepramone (INN)
D07445	Amfetamine (INN) &lt;US&gt;
D07447	Amiloride (INN)
D07448	Amitriptyline (INN)
D07449	Amitriptylinoxide (INN)
D07450	Amlodipine (USP/INN) &lt;US&gt;
D07451	Amosulalol (INN)
D07453	Amtolmetin guacil (INN)
D07455	Anagrelide (INN/BAN)
D07456	Androstanolone (INN)
D07457	Anisindione (INN)
D07458	Antazoline (INN)
D07459	Antazoline hydrochloride
D07460	Apomorphine (BAN)
D07461	Apraclonidine (INN)
D07463	Arformoterol (INN)
D07464	Paramethasone (INN)
D07465	Arotinolol (INN)
D07468	Articaine (INN)
D07472	Pemetrexed (INN)
D07473	Atomoxetine (USP/INN)
D07474	Atorvastatin (INN)
D07475	Atosiban acetate
D07477	Atropine oxide (INN)
D07481	Azasetron (INN)
D07482	Azatadine (INN)
D07483	Azelastine (INN)
D07489	Bambuterol hydrochloride
D07491	Bamifylline (INN)
D07492	Bamipine dihydrochloride
D07493	Bamipine lactate
D07494	Barnidipine (INN)
D07495	Beclometasone (INN)
D07496	Befunolol (INN)
D07499	Benazepril (INN)
D07509	Benidipine (INN)
D07510	Adomiparin (USAN)
D07511	Benzatropine (INN)
D07513	Benzetimide (INN)
D07514	Benzfetamine (INN)
D07515	Benzfetamine hydrochloride &lt;US&gt;
D07516	Benzydamine (INN)
D07517	Benzydamine salicylate
D07519	Benzylthiouracil
D07520	Bepridil (INN)
D07522	Betahistine (INN)
D07526	Betaxolol (INN)
D07532	Bisulepin
D07533	Bisulepin hydrochloride
D07534	Bitolterol (INN)
D07536	Boldenone (INN)
D07537	Bopindolol (INN)
D07538	Bosentan (INN)
D07540	Brimonidine (INN)
D07541	Bromfenac (INN)
D07543	Brompheniramine (INN)
D07546	Bucladesine (INN)
D07547	Buclizine (INN)
D07550	Bunazosin (INN)
D07552	Bupivacaine (USAN/INN) &lt;US&gt;
D07555	Acetyldigoxin
D07556	beta-Acetyldigoxin
D07557	O-Acetyldihydrocodeine hydrochloride
D07560	Adrenalone hydrochloride
D07563	Alizapride hydrochloride
D07564	Allopurinol sodium &lt;US&gt;
D07568	Aminomethylbenzoic acid
D07577	Cinaciguat (JAN/INN)
D07578	Eldecalcitol (JAN/INN) &lt;JP&gt;
D07579	Aspirin calcium salt
D07580	Aspirin DL-lysine (JAN)
D07581	Aspirin magnesium salt
D07582	Aspirin sodium
D07589	Budipine hydrochloride
D07590	Bupranolol (INN)
D07591	Bupropion (INN)
D07593	Buspirone (INN)
D07595	Fosphenytoin sodium hydrate (JAN) &lt;JP&gt;
D07603	Caffeine citrate (USP) &lt;US&gt;
D07608	Carazolol (INN)
D07615	Carbenoxolone (INN)
D07616	Carbimazole (INN)
D07617	Carbinoxamine (INN)
D07620	Carfentanil (INN)
D07624	Carteolol (INN)
D07660	Celiprolol (INN)
D07661	Cerivastatin (INN)
D07662	Cetirizine (INN)
D07665	Cetrorelix (INN)
D07667	Cevimeline (INN)
D07670	Chlormadinone (INN)
D07678	Chloroprocaine (INN)
D07679	Chloropyramine hydrochloride
D07682	Clazosentan sodium (JAN)
D07684	Chlorphenoxamine hydrochloride
D07686	Chlorprothixene acetate
D07687	Chlorprothixene citrate
D07698	Cilastatin (INN)
D07699	Cilazapril (INN)
D07700	Cinitapride (INN)
D07701	Cinitapride tartrate
D07704	Citalopram (USP/INN)
D07705	Citalopram hydrochloride
D07713	Clenbuterol (INN)
D07715	Clobetasol (INN)
D07717	Clobetasone (INN)
D07718	Clocapramine (INN)
D07719	Clocortolone (INN)
D07724	Magnesium clofibrate (INN)
D07725	Clomethiazole edisilate
D07726	Clomifene (INN)
D07727	Clomipramine (INN)
D07729	Clopidogrel (USP/INN)
D07730	Cloprostenol (INN)
D07734	Cinnarizine dihydrochloride
D07740	Codeine hydrochloride
D07741	Zibotentan (JAN/USAN/INN)
D07748	Conivaptan (INN)
D07749	Cortisone (INN)
D07756	Cyamemazine tartrate
D07759	Cyclopentolate (INN)
D07765	Cyproheptadine (INN)
D07766	Cyproterone (INN)
D07770	Cytisinicline (USAN)
D07775	Dapiprazole (INN)
D07776	Daunorubicin (INN)
D07781	Delapril (INN)
D07783	Delmadinone (INN)
D07784	Delorazepam (INN)
D07790	Deptropine citrate
D07791	Desipramine (INN)
D07792	Desoxycortone (INN)
D07793	Desvenlafaxine (INN) &lt;US&gt;
D07795	Detomidine (INN)
D07796	Dexamethasone 21-acetate
D07797	Dexamethasone isonicotinate
D07798	Dexamethasone sodium hemisulfate
D07799	Dexamethasone 21-tebutate
D07800	Dexamethasone 21-valerate
D07801	Dexamethasone phenylpropionate
D07802	Dexamethasone phosphate
D07803	Dexchlorpheniramine (INN)
D07804	Dexetimide hydrochloride
D07805	Dexfenfluramine (INN)
D07806	Dexmethylphenidate (INN)
D07807	Dexrazoxane hydrochloride &lt;US&gt;
D07809	Dextropropoxyphene (INN)
D07810	Diacetylmorphine hydrochloride
D07814	Dichlorisone (INN)
D07815	Dichlorisone acetate
D07816	Diclofenac (USAN/INN) &lt;US&gt;
D07817	Diclofenac diethylamine
D07818	Diclofenac hydroxyethylpyrrolidine &lt;US&gt;
D07819	Diclofenac calcium
D07820	Dicycloverine (INN)
D07821	Dihexyverine (INN)
D07823	Diethazine (INN)
D07826	Hexestrol diphosphate sodium
D07827	Diflorasone (INN)
D07831	Dihydrocodeine (INN)
D07832	Dihydrocodeine thiocyanate
D07833	Dihydroergocristine mesilate (BAN)
D07834	Dihydroergocristine (BAN)
D07835	Dihydroergocryptine
D07836	Dihydroergocryptine mesilate
D07837	Dihydroergotamine (INN)
D07838	Dihydroergotamine tartrate
D07843	Dilazep (INN)
D07845	Diltiazem (INN)
D07853	Dimetindene (INN)
D07854	Dimetotiazine (INN)
D07860	Dioxopromethazine hydrochloride
D07861	Diphenoxylate (INN)
D07862	Diphenylpyraline (INN)
D07863	Diprenorphine (INN)
D07864	Diprenorphine hydrochloride
D07866	Docetaxel (JAN/INN) &lt;JP/US&gt;
D07867	Dolasetron (INN)
D07868	Domperidone maleate
D07869	Donepezil (INN)
D07870	Dopamine (INN)
D07871	Dorzolamide (INN)
D07872	Dosulepin (INN)
D07874	Doxazosin (INN)
D07875	Doxepin (INN)
D07878	Doxylamine (INN)
D07879	Drotaverine hydrochloride
D07880	Duloxetine (INN)
D07883	Eflornithine (INN)
D07886	Efonidipine (INN)
D07887	Eletriptan (INN)
D07888	Eltenac (INN)
D07889	Embramine (INN)
D07890	Emedastine (INN)
D07892	Enalapril (INN)
D07894	Encainide (INN)
D07900	Epinastine (INN)
D07901	Epirubicin (INN)
D07904	Eptazocine (INN)
D07905	Ergometrine (INN)
D07906	Ergotamine (INN)
D07907	Erlotinib (INN)
D07913	Escitalopram (INN)
D07916	Esmolol (INN)
D07917	Esomeprazole (INN)
D07918	Estradiol hemihydrate &lt;US&gt;
D07919	Estradiol 17 beta-hemisuccinate
D07920	Estriol succinate
D07921	Estriol sodium succinate (BAN)
D07928	Ethinylestradiol propanesulfonate
D07929	Ethylmorphine (BAN)
D07931	Etilefrine (INN)
D07932	Etiproston (INN)
D07937	Etorphine (INN)
D07938	Bupropion hydrobromide (USAN) &lt;US&gt;
D07939	Etynodiol (INN)
D07940	Fadrozole (INN)
D07941	Fasudil (INN)
D07943	Fendiline hydrochloride
D07945	Fenfluramine (INN)
